name,slug,types,sprite_url
Abomasnow,abomasnow,"grass,ice",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/460.png
Abomasnow,abomasnow-mega,"grass,ice",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10060.png
Abra,abra,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png
Absol,absol,dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/359.png
Absol,absol-mega,dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10057.png
Absol,absol-mega-z,"dark,ghost",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10307.png
Accelgor,accelgor,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/617.png
Aegislash,aegislash-blade,"steel,ghost",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10026.png
Aegislash,aegislash-shield,"steel,ghost",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/681.png
Aerodactyl,aerodactyl,"rock,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png
Aerodactyl,aerodactyl-mega,"rock,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10042.png
Aggron,aggron,"steel,rock",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/306.png
Aggron,aggron-mega,steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10053.png
Aipom,aipom,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png
Alakazam,alakazam,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png
Alakazam,alakazam-mega,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10037.png
Alcremie,alcremie,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/869.png
Alcremie,alcremie-gmax,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10223.png
Alomomola,alomomola,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/594.png
Altaria,altaria,"dragon,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/334.png
Altaria,altaria-mega,"dragon,fairy",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10067.png
Amaura,amaura,"rock,ice",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/698.png
Ambipom,ambipom,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/424.png
Amoonguss,amoonguss,"grass,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/591.png
Ampharos,ampharos,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png
Ampharos,ampharos-mega,"electric,dragon",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10045.png
Annihilape,annihilape,"fighting,ghost",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/979.png
Anorith,anorith,"rock,bug",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/347.png
Appletun,appletun,"grass,dragon",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/842.png
Appletun,appletun-gmax,"grass,dragon",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10217.png
Applin,applin,"grass,dragon",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/840.png
Araquanid,araquanid,"water,bug",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/752.png
Araquanid,araquanid-totem,"water,bug",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10153.png
Arbok,arbok,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png
Arboliva,arboliva,"grass,normal",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/930.png
Arcanine,arcanine,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png
Arcanine,arcanine-hisui,"fire,rock",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10230.png
Arceus,arceus,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/493.png
Archaludon,archaludon,"steel,dragon",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1018.png
Archen,archen,"rock,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/566.png
Archeops,archeops,"rock,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/567.png
Arctibax,arctibax,"dragon,ice",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/997.png
Arctovish,arctovish,"water,ice",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/883.png
Arctozolt,arctozolt,"electric,ice",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/881.png
Ariados,ariados,"bug,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png
Armaldo,armaldo,"rock,bug",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/348.png
Armarouge,armarouge,"fire,psychic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/936.png
